brand,event_month,cart,purchase,view,view_to_cart_rate,cart_to_purchase_rate,overall_conversion_rate
airnails,1.0,4730,1288,4884,0.9684684684684685,0.2723044397463002,0.26371826371826373
airnails,2.0,4641,1160,4456,1.0415170556552962,0.24994613229907348,0.26032315978456017
airnails,10.0,6998,1741,6170,1.1341977309562399,0.24878536724778508,0.2821717990275527
airnails,11.0,6596,1928,6497,1.0152378020624904,0.2922983626440267,0.2967523472371864
airnails,12.0,4732,1383,5334,0.8871391076115486,0.2922654268808115,0.2592800899887514
almea,1.0,147,11,683,0.21522693997071743,0.07482993197278912,0.016105417276720352
almea,2.0,128,36,751,0.170439414114514,0.28125,0.047936085219707054
almea,10.0,300,34,741,0.4048582995951417,0.11333333333333333,0.04588394062078273
almea,11.0,178,34,775,0.2296774193548387,0.19101123595505617,0.04387096774193548
almea,12.0,115,31,603,0.19071310116086235,0.26956521739130435,0.05140961857379768
andrea,1.0,3,1,64,0.046875,0.3333333333333333,0.015625
andrea,2.0,1,0,59,0.01694915254237288,0.0,0.0
andrea,10.0,36,4,119,0.3025210084033613,0.1111111111111111,0.03361344537815126
andrea,11.0,8,0,85,0.09411764705882353,0.0,0.0
andrea,12.0,6,1,79,0.0759493670886076,0.16666666666666666,0.012658227848101266
ardell,1.0,871,176,4493,0.19385711106165146,0.2020665901262916,0.03917204540396172
ardell,2.0,1054,171,25314,0.0416370387927629,0.16223908918406071,0.006755155250059256
ardell,10.0,1035,195,2906,0.3561596696490021,0.18840579710144928,0.06710254645560909
ardell,11.0,807,141,2989,0.26998996319839413,0.17472118959107807,0.047172967547674804
ardell,12.0,774,158,3617,0.21398949405584738,0.2041343669250646,0.04368260989770528
arganoil,1.0,27,4,140,0.19285714285714287,0.14814814814814814,0.02857142857142857
arganoil,2.0,19,1,81,0.2345679012345679,0.05263157894736842,0.012345679012345678
art-visage,1.0,4138,847,5788,0.7149274360746372,0.20468825519574674,0.14633724948168625
art-visage,2.0,4826,915,6382,0.756189282356628,0.1895980107749689,0.14337198370416798
art-visage,10.0,3548,674,5833,0.6082633293331048,0.18996617812852312,0.1155494599691411
art-visage,11.0,5317,1082,6305,0.843298969072165,0.2034982132781644,0.17160983346550357
art-visage,12.0,3425,734,4828,0.7094034797017399,0.2143065693430657,0.152029826014913
artex,1.0,1427,379,3005,0.47487520798668886,0.26559215136650316,0.12612312811980034
artex,2.0,1185,305,2695,0.4397031539888683,0.25738396624472576,0.11317254174397032
artex,10.0,1261,285,2241,0.5626952253458277,0.2260111022997621,0.12717536813922356
