brand,event_month,cart,purchase,view,view_to_cart_rate,cart_to_purchase_rate,overall_conversion_rate
airnails,1.0,961,354,2400,0.40041666666666664,0.368366285119667,0.1475
airnails,2.0,905,287,2217,0.40820929183581417,0.31712707182320443,0.12945421741091565
airnails,10.0,1611,428,3299,0.488329796908154,0.26567349472377405,0.1297362837223401
airnails,11.0,1461,535,2958,0.49391480730223125,0.3661875427789186,0.18086544962812712
airnails,12.0,1050,362,2728,0.3848973607038123,0.34476190476190477,0.13269794721407624
almea,1.0,90,10,492,0.18292682926829268,0.1111111111111111,0.02032520325203252
almea,2.0,82,30,501,0.16367265469061876,0.36585365853658536,0.059880239520958084
almea,10.0,144,27,552,0.2608695652173913,0.1875,0.04891304347826087
almea,11.0,100,30,555,0.18018018018018017,0.3,0.05405405405405406
almea,12.0,74,28,427,0.17330210772833723,0.3783783783783784,0.06557377049180328
andrea,1.0,3,1,51,0.058823529411764705,0.3333333333333333,0.0196078431372549
andrea,2.0,1,0,48,0.020833333333333332,0.0,0.0
andrea,10.0,24,4,99,0.24242424242424243,0.16666666666666666,0.04040404040404041
andrea,11.0,7,0,62,0.11290322580645161,0.0,0.0
andrea,12.0,5,1,60,0.08333333333333333,0.2,0.016666666666666666
ardell,1.0,478,126,2179,0.21936668196420375,0.26359832635983266,0.0578246902248738
ardell,2.0,579,117,12226,0.04735808931784721,0.20207253886010362,0.009569769344020939
ardell,10.0,516,133,1580,0.3265822784810127,0.25775193798449614,0.08417721518987342
ardell,11.0,411,112,1547,0.2656755009696186,0.2725060827250608,0.07239819004524888
ardell,12.0,390,107,1788,0.2181208053691275,0.2743589743589744,0.059843400447427295
arganoil,1.0,16,3,88,0.18181818181818182,0.1875,0.03409090909090909
arganoil,2.0,16,1,60,0.26666666666666666,0.0625,0.016666666666666666
art-visage,1.0,2108,658,3387,0.6223796870386773,0.31214421252371916,0.1942722173014467
art-visage,2.0,2225,673,3656,0.6085886214442013,0.3024719101123596,0.18408096280087527
art-visage,10.0,1770,517,3356,0.5274135876042908,0.292090395480226,0.1540524433849821
art-visage,11.0,2292,808,3578,0.640581330352152,0.3525305410122164,0.22582448295136948
art-visage,12.0,1734,583,2811,0.6168623265741728,0.3362168396770473,0.20739950195659906
artex,1.0,860,271,1678,0.5125148986889154,0.31511627906976747,0.16150178784266986
artex,2.0,733,231,1479,0.495605138607167,0.3151432469304229,0.15618661257606492
artex,10.0,740,221,1283,0.5767731878409976,0.29864864864864865,0.17225253312548713
artex,11.0,996,358,1697,0.5869180907483795,0.35943775100401604,0.21096051856216852
artex,12.0,617,192,1310,0.47099236641221376,0.31118314424635335,0.1465648854961832
aura,1.0,57,21,89,0.6404494382022472,0.3684210526315789,0.23595505617977527
aura,2.0,44,12,106,0.41509433962264153,0.2727272727272727,0.11320754716981132
aura,10.0,50,12,85,0.5882352941176471,0.24,0.1411764705882353
aura,11.0,60,18,88,0.6818181818181818,0.3,0.20454545454545456
aura,12.0,36,10,75,0.48,0.2777777777777778,0.13333333333333333
australis,1.0,0,0,25,0.0,0.0,0.0
australis,2.0,0,0,17,0.0,0.0,0.0
