event_type,category_id,count
cart,1487580007675986893,319490
cart,1487580005595612013,231645
cart,1487580006317032337,226590
cart,1487580005671109489,211624
cart,1487580009286598681,203202
cart,1487580005092295511,190537
cart,1602943681873052386,161504
cart,1487580005134238553,120346
cart,1487580005268456287,115291
cart,1487580009445982239,108557
cart,1487580005754995573,102760
cart,1487580013841613016,84008
cart,1487580005427839846,83914
cart,1487580008145748965,80887
cart,1487580008246412266,78848
cart,1487580005713052531,76007
cart,1487580004916134735,74701
cart,1487580010100293687,74458
cart,1487580011585077370,73219
cart,1487580005511725929,71089
cart,2084144451428549153,70436
cart,1487580009311764506,68032
cart,1487580013522845895,59366
cart,1487580009471148064,55384
cart,1487580005050352469,51843
cart,1487580007634043851,44946
cart,1487580005553668971,42041
cart,1487580005461394279,41962
cart,1638456119066100510,41604
cart,1487580007256556476,39846
cart,1487580012096782476,38568
cart,1487580007432717250,38141
cart,1487580008263189483,35756
cart,1487580013581566154,34104
cart,1783999063314661546,32765
cart,1487580009605365797,31360
cart,2115334439910245200,30713
cart,1487580008187692007,30652
cart,1487580009387261981,30634
cart,2151191071051219817,30505
cart,1487580007717929935,29942
cart,1487580013950664926,29353
cart,1487580010796548183,29043
cart,1658462125284131265,28846
cart,1487580007852147670,28675
cart,1487580007281722301,26975
cart,1783999067156644376,26806
cart,1783999068909863670,26368
cart,1487580013858390233,26178
cart,2151191071378375538,25392
cart,1487580007910867929,25089
cart,1487580004857414477,23586
cart,1487580013011140782,23578
cart,1487580013053083824,23378
cart,1487580005411062629,23318
cart,1487580010628776014,22966
cart,1487580007936033754,22145
cart,1487580006300255120,21937
cart,1487580013069861041,21446
cart,1487580011627020412,21083
cart,1487580007306888126,20989
cart,1487580009496313889,20867
cart,1487580005008409427,20531
cart,1783999064136745198,20302
cart,1487580007575323592,20239
cart,1487580004832248652,19460
cart,1897124478404526487,19450
cart,1487580006350586771,19171
cart,1487580011652186237,19111
cart,1487580006551913373,18578
cart,1487580013640286413,18442
cart,1487580009143992338,18358
cart,1511892746070131099,17682
cart,1487580011383750769,17617
cart,1783999072332415142,17313
cart,1487580010872045658,17151
cart,1487580008800059394,16852
cart,1487580004882580302,16739
cart,1487580006509970331,16418
cart,1487580009051717646,16351
cart,1487580010821714008,16139
cart,2007399943458784057,16066
cart,1487580010125459512,15982
cart,1487580009362096156,15791
cart,1487580008657454075,15583
cart,2195085255034011676,15551
cart,1783999064103190764,15537
cart,1487580008288355308,15510
cart,1487580012927254698,15438
cart,1487580008313521133,15293
cart,1487580013388628160,15270
cart,1487580011702517887,15233
cart,1487580013749338323,14795
cart,1783999071199952917,14738
cart,2140803113261466607,13899
cart,1487580007952810971,13754
cart,1487580007659209676,13393
cart,1605161575889502297,13115
cart,1487580011283087468,12930
cart,2151191071118328683,12527
cart,1487580007483048900,12438
cart,1487580006132482952,12167
cart,1487580006895846315,12064
cart,1525995662934540829,11973
cart,1924049110428549877,11965
cart,1487580012969197740,11935
cart,1487580009202712597,11882
cart,1487580012994363565,11767
cart,2055161088059638328,11516
cart,1487580010645553231,11354
cart,2193074740552270669,11299
cart,1487580013539623112,11273
cart,1487580005067129686,10745
cart,1891434214553813877,10598
cart,1487580013027917999,10563
cart,1487580012902088873,10323
cart,1487580013506068678,10225
cart,1487580009261432856,10152
cart,1487580013279576251,10149
cart,2196456817641391019,9946
cart,1487580006962955182,9907
cart,1487580008347075566,9883
cart,1487580011853512836,9866
cart,1783999068867920626,9685
cart,1487580007592100809,9651
cart,1487580009227878422,9543
cart,1487580007776650194,9531
cart,1487580008447738866,9380
cart,1487580007399162817,9374
cart,1487580013489291461,9141
cart,1487580009521479714,9085
cart,1487580013472514244,8832
cart,1924049106385240809,8726
cart,1487580005855658874,8637
cart,1487580006409307030,8539
cart,1487580005528503146,8477
cart,1487580013413793985,8418
cart,1542195323827388674,8237
cart,1487580008112194531,8157
cart,1487580010561667147,8102
cart,1597770225539875791,8071
cart,1487580011677352062,7920
cart,1487580011534745720,7785
cart,1487580011501191286,7494
cart,2069804417665728971,7318
cart,2141560642253881670,7286
cart,1487580012574933146,7230
cart,1487580011408916594,7211
cart,1487580013732561106,7080
cart,2151191070908613477,7065
cart,2151191070984110951,7047
cart,1487580007550157767,6911
cart,1487580011425693811,6898
cart,1842735758805303837,6874
cart,1487580010779770966,6503
cart,1487580012021285001,6437
cart,1487580013170524342,6328
cart,1487580009622143014,6216
cart,1487580013145358517,6117
cart,1487580012373606546,6101
cart,2177933350667289121,6041
cart,1495705810662064688,5792
cart,1937169073007756269,5752
cart,1487580013229244601,5660
cart,1487580006644188066,5626
cart,1842735760499802745,5623
cart,1921723491720102387,5557
cart,1487580009076883471,5540
cart,1487580008774893569,5510
cart,2134354342373753638,5473
cart,1487580010754605141,5387
cart,1487580007457883075,5374
cart,1977575787259232875,5357
cart,1487580012591710363,5308
cart,1487580005385896804,5214
cart,1487580011308253293,5176
cart,1487580008607122425,5073
cart,1487580012642042013,4992
cart,1783999071325782053,4986
cart,2029082628195353599,4948
cart,1783999073758478650,4924
cart,1487580013824835799,4823
cart,1526733091857498510,4813
cart,1487580014009385185,4747
cart,2195085258272014535,4713
cart,1487580008758116352,4686
cart,1487580012524601496,4668
cart,1783999064069636330,4602
cart,1487580006241534861,4562
cart,1487580006937789357,4546
cart,1487580013212467384,4492
cart,2089259162625114209,4470
cart,1487580008162526182,4465
cart,1752742615205281895,4459
cart,2018395024110125980,4445
cart,2035665444290953519,4431
cart,1891434351850160381,4364
cart,1487580010318397504,4362
cart,1487580012683985055,4345
cart,1487580011157258342,4336
cart,1516331853567492962,4261
cart,1487580011996119176,4228
cart,1487580007365608384,4155
cart,1487580013254410426,4049
cart,1487580005897601916,3908
cart,1487580009336930331,3891
cart,1487580007835370453,3881
cart,1487580013615120588,3796
cart,1495705810729173554,3788
cart,1487580009571811364,3757
cart,1487580012121948301,3733
cart,1487580006434472855,3695
cart,1487580007189447609,3623
cart,1487580013430571202,3582
cart,1487580006451250072,3549
cart,1487580008816836611,3449
cart,1487580006526747548,3305
cart,1982860263572898112,3265
cart,2114584564549550293,3265
cart,1783999076551885399,3206
cart,1761186209054327497,3199
cart,1487580013799669974,3158
cart,1487580013690618064,3141
cart,1645114480121610699,3034
cart,1871018959927509750,2954
cart,1487580009177546772,2924
cart,1720400165430363096,2882
cart,1487580008984608779,2687
cart,1487580013086638258,2652
cart,1958278551207674674,2620
cart,1487580011098538083,2614
cart,2195085255176618020,2563
cart,1487580007759872977,2544
cart,1487580010268065854,2527
cart,1487580011970953351,2524
cart,1487580009672474664,2503
cart,1487580010737827924,2474
cart,1487580013128581300,2466
cart,1487580009026551821,2436
cart,1487580012205834384,2419
cart,1487580013296353468,2352
cart,1814592470537732872,2344
cart,1487580012717539489,2315
cart,1487580012432326804,2312
cart,1819693959081886239,2311
cart,1487580009118826513,2306
cart,1487580010922377308,2290
cart,2193074740619379535,2267
cart,1487580010242900029,2204
