event_month,category_id,count
1.0,1487580004807082827,55
1.0,1487580004832248652,13371
1.0,1487580004857414477,13906
1.0,1487580004882580302,11374
1.0,1487580004916134735,52786
1.0,1487580004941300560,193
1.0,1487580004966466385,4
1.0,1487580004983243602,23
1.0,1487580005008409427,12805
1.0,1487580005025186644,492
1.0,1487580005050352469,32981
1.0,1487580005067129686,4708
1.0,1487580005092295511,170412
1.0,1487580005134238553,125311
1.0,1487580005176181595,24
1.0,1487580005268456287,96834
1.0,1487580005293622112,793
1.0,1487580005318787937,66
1.0,1487580005343953762,584
1.0,1487580005369119587,7
1.0,1487580005385896804,3387
1.0,1487580005411062629,20967
1.0,1487580005427839846,44853
1.0,1487580005461394279,32462
1.0,1487580005486560104,870
1.0,1487580005511725929,49534
1.0,1487580005528503146,5136
1.0,1487580005553668971,31885
1.0,1487580005570446188,7
1.0,1487580005595612013,190065
1.0,1487580005629166447,724
1.0,1487580005654332272,1
1.0,1487580005671109489,163924
1.0,1487580005687886706,8
1.0,1487580005713052531,46427
1.0,1487580005754995573,36933
1.0,1487580005838881657,1234
1.0,1487580005855658874,9458
1.0,1487580005880824699,3
1.0,1487580005897601916,74
1.0,1487580005939544958,2
1.0,1487580005998265217,7
1.0,1487580006073762693,20
1.0,1487580006098928518,10
1.0,1487580006132482952,9341
1.0,1487580006157648777,11
1.0,1487580006174425994,17
1.0,1487580006199591819,32
1.0,1487580006241534861,8
1.0,1487580006300255120,68385
1.0,1487580006317032337,130878
1.0,1487580006350586771,32025
1.0,1487580006409307030,4140
1.0,1487580006434472855,6122
1.0,1487580006451250072,1731
1.0,1487580006484804506,50
1.0,1487580006509970331,9929
1.0,1487580006526747548,2422
1.0,1487580006551913373,13752
1.0,1487580006568690590,548
1.0,1487580006585467807,18
1.0,1487580006610633632,10
1.0,1487580006644188066,22
1.0,1487580006744851367,4
1.0,1487580006820348840,1
1.0,1487580006845514665,12
1.0,1487580006870680490,2
1.0,1487580006895846315,24
1.0,1487580006937789357,19
1.0,1487580006962955182,12660
1.0,1487580006979732399,4
1.0,1487580007004898224,5
1.0,1487580007021675441,25
1.0,1487580007046841266,7
1.0,1487580007072007091,2
1.0,1487580007097172916,9
1.0,1487580007155893175,2
1.0,1487580007189447609,12
1.0,1487580007256556476,25508
1.0,1487580007281722301,18373
1.0,1487580007306888126,14193
1.0,1487580007365608384,2178
1.0,1487580007399162817,5121
1.0,1487580007432717250,28624
1.0,1487580007457883075,4433
1.0,1487580007483048900,7170
1.0,1487580007508214725,5
1.0,1487580007524991942,1863
1.0,1487580007550157767,3307
1.0,1487580007575323592,10835
1.0,1487580007592100809,3491
1.0,1487580007634043851,22535
1.0,1487580007659209676,5669
1.0,1487580007675986893,156735
1.0,1487580007701152718,571
1.0,1487580007717929935,16842
1.0,1487580007759872977,1416
1.0,1487580007776650194,5190
1.0,1487580007835370453,4506
1.0,1487580007852147670,23971
1.0,1487580007877313495,1751
1.0,1487580007894090712,2131
1.0,1487580007910867929,28147
1.0,1487580007936033754,15926
1.0,1487580007952810971,11248
1.0,1487580007986365405,2128
1.0,1487580008011531230,3867
1.0,1487580008028308447,2420
1.0,1487580008053474272,3607
1.0,1487580008070251489,1224
1.0,1487580008087028706,1033
1.0,1487580008112194531,8368
1.0,1487580008128971748,7
1.0,1487580008145748965,52329
1.0,1487580008162526182,4120
1.0,1487580008187692007,19246
1.0,1487580008204469224,1
1.0,1487580008221246441,12
1.0,1487580008246412266,71824
1.0,1487580008263189483,33744
1.0,1487580008288355308,12737
1.0,1487580008313521133,12481
1.0,1487580008347075566,18371
1.0,1487580008422573041,473
1.0,1487580008447738866,6257
1.0,1487580008472904691,9
1.0,1487580008523236341,7
1.0,1487580008565179383,2
1.0,1487580008590345208,12
1.0,1487580008607122425,24
1.0,1487580008657454075,12192
1.0,1487580008674231292,56
1.0,1487580008699397117,11
1.0,1487580008758116352,4742
1.0,1487580008774893569,4851
1.0,1487580008800059394,19949
1.0,1487580008816836611,2299
1.0,1487580008858779653,11
1.0,1487580008909111303,538
1.0,1487580008925888520,6
1.0,1487580008951054345,1
1.0,1487580008984608779,5666
1.0,1487580009009774604,5
1.0,1487580009026551821,4113
1.0,1487580009051717646,31084
1.0,1487580009076883471,3451
1.0,1487580009118826513,2145
1.0,1487580009143992338,15227
1.0,1487580009177546772,7266
1.0,1487580009202712597,6624
1.0,1487580009227878422,6046
1.0,1487580009261432856,5202
1.0,1487580009286598681,83836
1.0,1487580009311764506,30484
1.0,1487580009336930331,3144
1.0,1487580009362096156,7942
1.0,1487580009387261981,23324
1.0,1487580009445982239,68476
1.0,1487580009471148064,28487
1.0,1487580009496313889,17534
1.0,1487580009521479714,5836
1.0,1487580009546645539,1459
1.0,1487580009571811364,2669
1.0,1487580009605365797,17441
1.0,1487580009622143014,2726
1.0,1487580009647308839,145
1.0,1487580009672474664,1383
1.0,1487580009706029097,1
1.0,1487580009739583530,162
1.0,1487580009764749355,8
1.0,1487580009798303788,20
1.0,1487580009823469613,77
1.0,1487580009857024046,2
1.0,1487580010049962037,2
1.0,1487580010075127862,25
1.0,1487580010100293687,36741
1.0,1487580010125459512,14897
1.0,1487580010192568379,747
1.0,1487580010217734204,1531
1.0,1487580010242900029,2137
1.0,1487580010268065854,1738
1.0,1487580010293231679,1390
1.0,1487580010318397504,4194
1.0,1487580010335174721,1857
1.0,1487580010360340546,69
1.0,1487580010377117763,1931
1.0,1487580010427449413,5
1.0,1487580010561667147,15696
1.0,1487580010603610189,3
1.0,1487580010628776014,12824
1.0,1487580010645553231,16350
1.0,1487580010662330448,737
1.0,1487580010695884882,4069
1.0,1487580010721050707,2107
1.0,1487580010737827924,1632
1.0,1487580010754605141,3151
1.0,1487580010779770966,2912
1.0,1487580010796548183,16222
1.0,1487580010821714008,7417
1.0,1487580010846879833,833
1.0,1487580010872045658,10580
1.0,1487580010922377308,1150
1.0,1487580010955931741,321
1.0,1487580010989486174,5
1.0,1487580011006263391,4
1.0,1487580011031429216,307
1.0,1487580011056595041,1
1.0,1487580011073372258,6
1.0,1487580011098538083,2251
1.0,1487580011115315300,7
1.0,1487580011157258342,2436
1.0,1487580011182424167,1053
1.0,1487580011199201384,4
1.0,1487580011241144426,552
1.0,1487580011283087468,15001
1.0,1487580011308253293,6131
1.0,1487580011333419118,1071
1.0,1487580011383750769,17109
1.0,1487580011408916594,2
1.0,1487580011425693811,7
1.0,1487580011476025461,786
1.0,1487580011501191286,2335
1.0,1487580011517968503,1356
1.0,1487580011534745720,6100
1.0,1487580011559911545,4
1.0,1487580011585077370,39713
1.0,1487580011601854587,261
1.0,1487580011627020412,15361
1.0,1487580011652186237,15946
1.0,1487580011677352062,7595
1.0,1487580011702517887,13665
1.0,1487580011752849537,617
1.0,1487580011786403970,592
1.0,1487580011828347011,22
1.0,1487580011853512836,7010
1.0,1487580011903844485,1052
1.0,1487580011945787526,382
